Series,Contestant,Strength,Signature_Handshakes,Showstopper_Handshakes,Positive_Reviews,Negative_Reviews,Star_Baker_Wins,Result,Strongest_Performance,Strongest_Round,Weakest_Performance,Weakest_Round,Strength_Variance
6,Kim-Joy,6.81,2,0,3,1,2,finalist,9.13,5,5.38,9,1.11
8,Laura,5.69,0,0,2,3,1,finalist,8.07,5,3.72,10,1.94
13,Leighton,4.95,0,0,0,2,0,R2 elimination,5.27,2,4.63,1,0.2
13,Lesley,6.73,0,0,2,1,0,R7 elimination,7.75,1,4.95,7,0.98
5,Liam,5.81,1,0,3,3,1,quarterfinalist,9.38,4,1.83,8,6.6
8,Linda,5.22,0,0,0,2,0,R5 elimination,6.34,4,3.39,5,1.25
9,Lizzie,6.12,0,0,1,2,0,quarterfinalist,8.42,3,3.85,7,2.19
8,Loriea,2.55,0,0,0,1,0,R1 elimination,2.55,1,2.55,1,
8,Lottie,6.66,1,0,1,2,1,R7 elimination,9.16,6,3.76,7,4.26
6,Luke,4.74,0,0,0,1,0,R2 elimination,6.32,1,3.16,2,4.99
9,Maggie,3.62,0,0,0,3,0,R4 elimination,6.39,1,2.52,4,3.43
10,Maisam,5.37,0,0,0,2,0,R2 elimination,6.09,2,4.65,1,1.04
8,Mak,5.47,0,0,0,1,0,R2 elimination,6.17,1,4.77,2,0.98
6,Manon,5.92,1,0,1,2,1,quarterfinalist,9.13,1,1.5,6,5.15
8,Marc,6.06,0,0,4,3,1,quarterfinalist,9.12,3,3.32,8,4.22
8,Mark,6.48,0,0,2,2,1,R6 elimination,7.74,1,5.14,6,0.82
11,Matty,5.74,1,0,2,3,2,Champion,8.26,2,3.11,5,2.66
10,Maxy,6.53,2,0,2,1,2,quarterfinalist,9.5,4,4.06,8,4.18
7,Michael,6.02,1,0,1,3,1,R7 elimination,8.88,3,3.89,7,2.64
7,Michelle,6.01,0,0,1,1,1,R5 elimination,7.8,1,3.35,5,2.65
12,Mike,5.76,0,0,0,1,0,R4 elimination,7.66,2,4.44,4,2.05
13,Nadia,6.05,0,0,1,1,0,R5 elimination,8.13,2,4.35,5,2.61
13,Nataliia,5.69,0,0,1,2,1,R6 elimination,8.27,1,3.92,2,2.9
12,Nelly,6.96,0,0,1,1,0,R6 elimination,9.5,3,4.62,6,2.78
11,Nicky,6.02,0,0,1,3,0,R5 elimination,8.06,4,4.56,3,2.34
5,Peter,3.09,0,0,0,1,0,R1 elimination,3.09,1,3.09,1,
8,Peter,7.56,1,1,4,2,2,Champion,9.88,9,3.45,8,3.39
7,Phil,5.44,0,0,0,1,0,R4 elimination,6.81,3,4.34,1,1.3
7,Priya,4.99,0,0,0,3,0,R6 elimination,6.07,1,3.62,2,0.9
13,Pui Man,5.02,0,0,0,2,0,R3 elimination,5.82,2,4.42,3,0.52
6,Rahul,7.17,2,1,6,2,2,Champion,9.41,2,3.25,8,4.23
10,Rebs,3.86,0,0,0,3,0,R4 elimination,5.34,1,1.69,4,3.69
9,Rochica,5.38,0,0,0,1,0,R3 elimination,6.48,2,3.67,3,2.25
7,Rosie,6.31,0,0,1,5,0,semifinalist,8.83,4,3.22,6,2.67
8,Rowan,4.7,0,0,0,2,0,R3 elimination,8.11,1,2.58,3,8.91
11,Rowan,5.01,0,0,0,3,0,R5 elimination,8.05,1,2.92,5,5.13
6,Ruby,6.22,1,1,3,2,2,finalist,7.89,6,3.16,1,2.42
11,Saku,4.85,0,0,0,4,0,R7 elimination,5.65,1,2.89,7,1.39
10,Sandro,6.57,0,0,5,2,1,finalist,9.1,2,3.54,10,3.09
5,Sophie,7.58,1,0,6,0,2,Champion,9.3,2,4.63,3,1.96
5,Stacey,6.0,2,0,2,5,1,semifinalist,9.03,5,3.03,6,4.85
7,Steph,7.38,1,0,8,1,4,finalist,9.5,4,3.78,10,2.64
5,Steven,6.72,2,0,5,1,3,finalist,9.5,7,3.18,9,4.57
12,Sumayah,6.72,0,1,4,2,2,R7 elimination,9.1,2,3.66,7,4.45
8,Sura,5.98,0,0,2,1,0,R4 elimination,9.5,1,1.15,4,12.21
10,Syabira,7.36,1,0,7,1,3,Champion,9.03,6,5.21,5,1.37
11,Tasha,7.06,1,0,4,1,2,semifinalist,8.76,3,4.78,9,1.66
6,Terry,5.08,0,0,0,3,0,R5 elimination,8.18,3,0.75,5,9.84
13,Toby,6.0,1,0,2,4,1,semifinalist,9.08,7,3.43,5,2.57
5,Tom,5.04,0,0,1,1,0,R4 elimination,7.38,2,2.24,4,4.53
9,Tom,3.3,0,0,0,1,0,R1 elimination,3.3,1,3.3,1,
13,Tom,7.22,1,1,5,2,1,finalist,8.63,10,4.36,9,1.85
10,Will,3.22,0,0,0,1,0,R1 elimination,3.22,1,3.22,1,
5,Yan,5.78,1,0,1,1,0,R7 elimination,7.3,6,3.94,3,1.87
