Contestant,Series,Round,Signature Bake,Signature Flavor,Signature Looks,Signature Handshake,Tech,First Half Review,Showstopper Bake,Showstopper Flavor,Showstopper Looks,Showstopper Handshake,Second Half Review,Winner,Eliminated
Kate,5,4,1,1,1,,6,1,1,1,1,,1,1,
Tom,5,4,0,1,-1,,5,,-1,-1,-1,,-1,,1
Julia,5,4,1,-1,-1,,9,-1,1,1,1,,,,
Liam,5,4,1,1,1,1,3,1,1,1,1,,1,,
Yan,5,4,-1,1,1,,8,-1,-1,1,1,,,,
Steven,5,4,0,0,1,,7,,-1,-1,1,,,,
Stacey,5,4,0,-1,1,,1,1,1,1,0,,,,
James,5,4,-1,1,-1,,2,-1,-1,1,-1,,-1,,
Sophie,5,4,-1,1,-1,,4,,1,1,1,,,,
Kate,5,5,0,-1,0,,8,-1,1,1,1,,,,
Julia,5,5,0,1,0,,3,,-1,-1,1,,-1,,
Liam,5,5,-1,1,1,,2,,0,-1,-1,,-1,,
Yan,5,5,1,1,1,1,6,1,-1,1,1,,,,
Steven,5,5,1,1,1,1,5,1,-1,1,1,,,,
Stacey,5,5,1,1,1,1,4,1,1,1,1,,1,,
James,5,5,0,1,1,,7,-1,-1,-1,0,,-1,,1
Sophie,5,5,-1,1,-1,,1,,1,1,1,,1,1,
Kate,5,6,-1,-1,-1,,5,-1,1,1,1,,,,
Julia,5,6,-1,-1,0,,7,-1,-1,-1,-1,,-1,,1
Liam,5,6,1,1,1,,4,1,1,1,-1,,1,1,
Yan,5,6,-1,-1,-1,,1,,1,1,1,,1,,
Steven,5,6,1,1,0,,3,,0,-1,1,,,,
Stacey,5,6,1,1,1,,6,-1,-1,-1,-1,,-1,,
Sophie,5,6,1,1,1,,2,1,1,1,1,,1,,
Kate,5,7,0,1,-1,,6,-1,0,1,-1,,-1,,
Liam,5,7,0,1,1,,2,1,1,1,1,,1,,
Yan,5,7,-1,1,-1,,5,-1,0,1,0,,-1,,1
Steven,5,7,1,1,1,,1,1,1,1,1,,1,1,
Stacey,5,7,-1,1,0,,4,,-1,1,-1,,-1,,
Sophie,5,7,1,1,1,,3,1,1,1,1,,1,,
Kate,5,8,-1,0,-1,,2,-1,0,0,-1,,-1,,
Liam,5,8,-1,1,1,,5,-1,-1,-1,-1,,-1,,1
Steven,5,8,-1,-1,1,,1,1,1,1,1,,1,,
Stacey,5,8,1,1,1,1,3,1,1,1,1,,1,1,
Sophie,5,8,1,1,-1,,4,-1,0,1,1,,,,
Kate,5,9,1,1,1,,4,,1,1,0,,1,,
Steven,5,9,-1,1,-1,,3,,-1,1,-1,,-1,,
Stacey,5,9,-1,-1,-1,,2,-1,0,0,1,,-1,,1
Sophie,5,9,-1,1,1,,1,,1,1,0,,1,1,
Kate,5,10,1,1,1,,3,0,1,1,1,,,,
Steven,5,10,-1,1,-1,,1,0,-1,1,-1,,,,
Sophie,5,10,-1,1,1,,2,0,1,1,1,,,1,
Antony,6,1,1,1,1,,12,,1,1,1,,,,
Karen,6,1,0,1,1,,6,,0,-1,1,,,,
Kim-Joy,6,1,1,1,1,,10,,0,0,1,,,,
Jon,6,1,-1,-1,-1,,5,,1,1,-1,,,,
Manon,6,1,1,1,1,,3,,1,1,1,,1,1,
Rahul,6,1,0,0,1,,7,,1,1,1,,,,
Ruby,6,1,-1,0,0,,1,,-1,-1,-1,,-1,,
Dan,6,1,-1,1,-1,,4,,1,1,1,,,,
Terry,6,1,-1,1,-1,,9,,1,1,1,,-1,,
Luke,6,1,0,0,1,,8,,-1,1,1,,,,
Imelda,6,1,1,1,1,,11,,-1,-1,-1,,-1,,1
Briony,6,1,1,1,1,,2,,1,-1,1,,1,,
Antony,6,2,1,1,-1,,9,,0,-1,1,,,,
Karen,6,2,-1,-1,1,,11,-1,1,1,1,,,,
Kim-Joy,6,2,1,1,1,,4,,-1,0,1,,,,
Jon,6,2,1,0,1,,1,1,1,1,1,,1,,
Manon,6,2,-1,-1,0,,6,-1,1,1,1,,,,
Rahul,6,2,1,1,1,,2,,1,1,1,1,1,1,
Ruby,6,2,1,0,-1,,10,-1,1,1,1,1,,,
Dan,6,2,1,1,1,1,3,1,1,1,1,,1,,
Terry,6,2,1,1,0,,8,-1,0,-1,1,,-1,,
Luke,6,2,-1,0,-1,,7,-1,-1,1,-1,,-1,,1
Briony,6,2,1,1,-1,,5,1,-1,1,1,,-1,,
Antony,6,3,-1,1,1,,8,-1,-1,0,0,,-1,,1
Karen,6,3,1,1,1,,5,,-1,-1,1,,,,
Kim-Joy,6,3,1,1,1,,10,-1,-1,1,1,,,,
Jon,6,3,-1,1,1,,2,,-1,1,-1,,,,
Manon,6,3,-1,1,1,,3,,-1,-1,1,,,,
Rahul,6,3,1,1,0,,4,1,1,1,1,,1,1,
Ruby,6,3,-1,0,0,,7,-1,1,1,1,,,,
Dan,6,3,1,1,1,1,6,1,1,-1,1,,1,,
Terry,6,3,1,1,1,,1,,-1,1,1,,,,
Briony,6,3,1,1,-1,,9,-1,-1,-1,-1,,-1,,
Karen,6,4,-1,0,-1,,7,-1,1,0,1,,-1,,
Kim-Joy,6,4,0,1,-1,,6,-1,1,1,1,,,,
Jon,6,4,1,1,1,1,3,1,1,1,1,,1,,
Manon,6,4,1,1,0,,8,-1,1,1,1,,,,
Rahul,6,4,-1,1,0,,4,1,1,1,1,,1,,
Ruby,6,4,1,1,1,,2,1,-1,-1,-1,,,,
Dan,6,4,1,1,1,1,1,1,1,1,0,,1,1,
Briony,6,4,-1,1,-1,,5,-1,1,1,-1,,-1,,
Karen,6,5,-1,-1,0,,9,-1,0,-1,0,,-1,,1
Kim-Joy,6,5,1,1,1,1,4,1,1,1,1,,1,1,
Jon,6,5,-1,1,1,,7,,1,1,-1,,-1,,
Manon,6,5,1,1,1,1,5,1,1,-1,1,,,,
Rahul,6,5,1,1,1,1,3,1,1,1,1,,1,,
Ruby,6,5,1,0,1,,1,1,1,0,0,,,,
Dan,6,5,-1,0,-1,,2,,0,-1,1,,,,
Briony,6,5,-1,-1,1,,6,-1,0,0,0,,-1,,
Terry,6,5,-1,-1,-1,,8,-1,-1,-1,-1,,-1,,1
Kim-Joy,6,6,1,1,0,,5,,-1,1,1,,,,
Jon,6,6,-1,1,0,,2,,-1,1,-1,,,,
Manon,6,6,-1,-1,-1,,4,-1,-1,-1,-1,,-1,,
Rahul,6,6,1,1,1,1,3,1,-1,1,1,,1,,
Ruby,6,6,1,1,1,1,7,-1,1,1,1,,1,,
Dan,6,6,-1,1,0,,6,-1,-1,1,1,,-1,,1
Briony,6,6,1,0,1,,1,1,1,-1,1,,1,1,
Kim-Joy,6,7,1,1,1,1,6,,1,1,1,,1,1,
Jon,6,7,-1,-1,-1,,4,-1,1,0,-1,,-1,,1
Manon,6,7,1,1,1,,2,1,-1,-1,1,,,,
Rahul,6,7,1,1,0,,1,1,-1,0,-1,,1,,
Ruby,6,7,1,-1,1,,3,-1,1,1,-1,,-1,,
Briony,6,7,0,-1,0,,5,-1,1,1,1,,,,
Kim-Joy,6,8,0,1,1,,2,1,-1,1,1,,-1,,
Manon,6,8,-1,-1,-1,,4,-1,-1,1,1,,-1,,1
Rahul,6,8,-1,0,-1,,5,-1,-1,1,0,,-1,,
Ruby,6,8,1,1,1,,3,1,1,0,1,,1,1,
Briony,6,8,-1,-1,-1,,1,1,1,1,0,,1,,
Kim-Joy,6,9,-1,0,1,,2,1,0,1,-1,,1,,
Rahul,6,9,1,1,1,,4,,0,1,-1,,-1,,
Ruby,6,9,-1,1,-1,,1,,1,1,0,,1,1,
Briony,6,9,1,0,0,,3,-1,-1,0,-1,,-1,,1
Kim-Joy,6,10,1,1,0,,2,,1,0,0,,,,
Rahul,6,10,-1,0,1,,1,,1,1,0,,,1,
Ruby,6,10,1,-1,0,,3,,1,1,-1,,,,
Priya,7,1,1,1,1,,7,,0,1,-1,,,,
Jamie,7,1,1,1,0,,13,,-1,-1,0,,-1,,
Henry,7,1,1,1,-1,,1,,0,1,1,,,,
Amelia,7,1,1,1,1,,4,,-1,-1,0,,,,
Phil,7,1,0,-1,1,,8,,0,-1,0,,,,
Helena,7,1,0,1,-1,,12,,1,1,1,,,,
Michelle,7,1,-1,1,1,,6,,1,1,1,,1,1,
Steph,7,1,1,1,1,,3,,-1,1,1,,1,,
Rosie,7,1,-1,-1,-1,,2,,1,1,0,,,,
David,7,1,1,0,1,,10,,1,1,1,,,,
Alice,7,1,0,0,1,,5,,1,1,1,,,,
Michael,7,1,1,1,1,,11,,1,-1,1,,,,
Dan,7,1,-1,1,-1,,9,,0,-1,1,,-1,,1
Priya,7,2,0,-1,-1,,7,,-1,-1,1,,,,
Jamie,7,2,0,-1,-1,,11,,1,1,-1,,-1,,1
Henry,7,2,0,1,1,,6,,-1,1,-1,,,,
Amelia,7,2,-1,1,-1,,9,,1,-1,-1,,-1,,
Phil,7,2,1,1,-1,,3,,-1,0,1,,,,
Helena,7,2,-1,0,0,,12,,1,1,1,,,,
Michelle,7,2,1,1,1,,8,,1,1,-1,,,,
Steph,7,2,0,-1,1,,10,,-1,1,1,,,,
Rosie,7,2,1,1,1,,5,,0,1,1,,1,,
David,7,2,1,1,-1,,2,,1,1,1,,1,,
Alice,7,2,1,1,1,,1,,1,1,1,,1,1,
Michael,7,2,0,1,0,,4,,-1,0,1,,,,
Priya,7,3,0,1,0,,4,1,1,-1,-1,,,,
Henry,7,3,0,-1,1,,1,,-1,1,-1,,-1,,
Amelia,7,3,0,1,-1,,11,-1,-1,-1,0,,-1,,1
Phil,7,3,1,1,1,,10,,1,1,0,,,,
Helena,7,3,0,1,-1,,8,,-1,-1,-1,,,,
Michelle,7,3,1,1,-1,,5,1,-1,1,1,,,,
Steph,7,3,-1,1,1,,3,,1,1,1,,1,,
Rosie,7,3,1,1,0,,9,-1,1,0,1,,,,
David,7,3,0,0,0,,2,1,-1,-1,0,,,,
Alice,7,3,-1,1,1,,7,-1,1,0,1,,-1,,
Michael,7,3,1,1,1,1,6,,1,1,1,,1,1,
Priya,7,4,1,1,1,,10,-1,1,1,-1,,-1,,
Henry,7,4,1,1,1,,3,1,-1,1,-1,,,,
Phil,7,4,1,-1,-1,,6,,0,-1,1,,-1,,1
Helena,7,4,1,1,1,,9,,1,1,1,,,,
Michelle,7,4,-1,0,1,,5,,0,0,1,,,,
Steph,7,4,1,1,1,,1,1,1,1,1,,1,1,
Rosie,7,4,1,1,1,,4,,1,1,1,,,,
David,7,4,1,1,1,,2,1,1,1,1,,1,,
Alice,7,4,1,-1,1,,8,,1,1,1,,,,
Michael,7,4,1,1,-1,,7,-1,1,1,1,,-1,,
Priya,7,5,-1,1,-1,,2,-1,1,1,-1,,-1,,
Henry,7,5,-1,1,1,,3,,-1,1,1,,1,,
Helena,7,5,0,-1,1,,1,,1,-1,-1,,-1,,1
Michelle,7,5,0,-1,1,,7,,-1,-1,0,,-1,,1
Steph,7,5,1,1,1,,4,,1,1,0,,1,1,
Rosie,7,5,-1,1,-1,,5,,1,1,0,,-1,,
David,7,5,1,1,1,1,9,,1,1,1,,1,,
Alice,7,5,0,-1,0,,6,,1,1,-1,,,,
Michael,7,5,1,1,0,,8,,1,-1,1,,,,
Priya,7,6,-1,-1,-1,,7,-1,1,0,1,,-1,,1
Henry,7,6,1,1,-1,,4,,-1,-1,1,,-1,,
Steph,7,6,1,0,1,,3,1,1,1,1,,1,1,
Rosie,7,6,1,1,-1,,5,,-1,-1,0,,-1,,
David,7,6,1,-1,1,,2,,-1,1,1,,,,
Alice,7,6,0,-1,1,,1,1,1,1,1,,1,,
Michael,7,6,-1,1,1,,6,-1,-1,1,0,,-1,,
Henry,7,7,1,1,1,1,3,,1,1,1,,1,1,
Steph,7,7,1,1,1,1,4,,1,1,0,,1,,
Rosie,7,7,1,1,1,,1,,0,1,-1,,-1,,
David,7,7,1,1,1,,2,,-1,0,0,,1,,
Alice,7,7,1,-1,0,,6,-1,1,1,1,,,,
Michael,7,7,0,1,0,,5,,-1,0,0,,-1,,1
Henry,7,8,1,1,1,,5,-1,-1,-1,-1,,-1,,1
Steph,7,8,0,1,-1,,4,,1,1,1,,1,1,
Rosie,7,8,-1,-1,-1,,2,-1,-1,1,1,,-1,,
David,7,8,-1,1,-1,,1,,-1,-1,1,,1,,
Alice,7,8,0,1,0,,3,-1,-1,-1,1,,,,
Steph,7,9,0,1,1,,3,,1,1,1,,1,,
Rosie,7,9,-1,1,1,,1,,-1,0,0,,-1,,1
David,7,9,0,1,0,,2,,-1,1,-1,,-1,,
Alice,7,9,1,1,0,,4,,-1,1,1,,1,1,
Steph,7,10,0,1,1,,3,,0,0,-1,,-1,,
David,7,10,1,-1,1,,1,,1,1,1,,1,1,
Alice,7,10,1,0,-1,,2,,1,1,1,,1,,
Peter,8,1,1,1,1,,2,1,1,1,1,,1,1,
Mak,8,1,0,-1,1,,8,,-1,1,1,,,,
Hermine,8,1,1,1,1,,5,1,1,1,1,,1,,
Laura,8,1,0,-1,0,,6,,1,1,0,,,,
Dave,8,1,1,1,1,,9,,-1,-1,1,,,,
Linda,8,1,-1,0,0,,12,-1,1,1,0,,-1,,
Loriea,8,1,-1,-1,1,,10,-1,0,-1,-1,,-1,,1
Mark,8,1,1,0,0,,7,,1,1,1,,,,
Marc,8,1,0,0,0,,11,-1,0,1,-1,,-1,,
Lottie,8,1,1,1,-1,,4,,-1,1,1,,,,
Rowan,8,1,-1,0,1,,3,,1,1,1,,,,
Sura,8,1,1,1,1,,1,1,1,1,1,,1,,
Peter,8,2,0,1,1,,10,,1,1,1,,,,
Mak,8,2,-1,1,-1,,3,,0,1,-1,,-1,,1
Hermine,8,2,-1,0,-1,,5,,0,-1,1,,,,
Laura,8,2,1,0,1,,7,,0,1,-1,,,,
Dave,8,2,1,1,1,,1,,1,1,1,,1,1,
Linda,8,2,1,1,-1,,4,,-1,0,1,,,,
Mark,8,2,0,-1,-1,,2,,0,1,1,,1,,
Marc,8,2,0,1,1,,9,,1,1,1,,1,,
Lottie,8,2,1,1,1,1,8,,1,1,1,,,,
Rowan,8,2,-1,1,-1,,11,,-1,1,0,,-1,,
Sura,8,2,1,1,1,,6,,1,1,-1,,,,
Hermine,8,3,1,1,1,1,7,1,1,-1,1,,,,
Laura,8,3,-1,1,1,,6,,-1,1,1,,,,
Dave,8,3,1,-1,1,,9,-1,-1,1,0,,-1,,
Linda,8,3,-1,1,1,,1,,-1,-1,1,,,,
Mark,8,3,1,1,1,,3,1,1,0,-1,,,,
Marc,8,3,1,0,1,,2,1,1,1,1,,1,1,
Lottie,8,3,1,1,1,,5,1,1,0,1,,,,
Rowan,8,3,-1,1,-1,,10,-1,-1,-1,1,,-1,,1
Sura,8,3,-1,1,0,,8,,1,1,1,,1,,
Peter,8,3,-1,1,1,,4,,0,1,0,,-1,,
Hermine,8,4,0,-1,-1,,5,,1,1,0,,,,
Laura,8,4,-1,-1,-1,,2,,-1,1,0,,,,
Dave,8,4,-1,1,1,,8,,1,1,1,,,,
Linda,8,4,-1,1,0,,1,,1,1,-1,,,,
Mark,8,4,0,1,1,,3,,1,-1,1,,1,1,
Marc,8,4,-1,1,-1,,6,,-1,1,1,,,,
Lottie,8,4,-1,0,-1,,9,,-1,1,1,,-1,,
Sura,8,4,-1,0,-1,,7,,-1,-1,-1,,-1,,1
Peter,8,4,0,-1,1,,4,,1,1,1,,1,,
Hermine,8,5,1,1,0,,2,,1,1,1,,1,,
Laura,8,5,1,1,1,,6,,1,1,1,,1,1,
Dave,8,5,-1,0,1,,5,,1,1,1,,1,,
Linda,8,5,1,1,-1,,8,,-1,1,-1,,-1,,1
Mark,8,5,1,1,1,,3,,-1,1,-1,,-1,,
Marc,8,5,-1,1,-1,,7,,-1,1,1,,-1,,
Lottie,8,5,1,1,-1,,4,,1,1,0,,,,
Peter,8,5,-1,1,1,,1,,1,1,1,,1,,
Hermine,8,6,1,1,0,,4,,-1,1,-1,,-1,,
Laura,8,6,-1,1,-1,,7,-1,1,1,0,,-1,,
Dave,8,6,1,1,0,,3,1,1,1,1,,1,,
Mark,8,6,1,1,1,,5,,-1,-1,1,,-1,,1
Marc,8,6,1,1,0,,6,,1,1,1,,1,,
Lottie,8,6,1,1,1,,2,1,1,1,1,,1,1,
Peter,8,6,-1,1,0,,1,,1,-1,1,,,,
Hermine,8,7,-1,1,1,,1,1,1,1,1,,1,1,
Laura,8,7,-1,1,0,,4,-1,0,1,-1,,-1,,
Dave,8,7,0,-1,0,,6,-1,1,1,-1,,,,
Marc,8,7,1,1,0,,3,,0,1,1,,1,,
Lottie,8,7,1,1,1,,5,-1,0,-1,-1,,-1,,1
Peter,8,7,1,0,1,,2,,-1,1,1,,,,
Hermine,8,8,-1,-1,1,,3,,1,1,1,,1,1,
Laura,8,8,1,1,-1,,1,1,1,1,0,,1,,
Dave,8,8,1,1,1,,5,,-1,1,1,,,,
Marc,8,8,0,-1,-1,,2,,-1,-1,0,,-1,,1
Peter,8,8,0,1,-1,,4,-1,-1,1,-1,,-1,,
Hermine,8,9,-1,1,1,,2,,-1,1,-1,,-1,,1
Laura,8,9,1,0,0,,4,,1,1,-1,,-1,,
Dave,8,9,1,1,1,,3,,1,1,1,,1,,
Peter,8,9,1,1,1,1,1,,1,1,1,,1,1,
Laura,8,10,-1,1,-1,,3,-1,1,1,-1,-1,,,
Dave,8,10,1,1,0,,1,1,-1,1,1,1,,,
Peter,8,10,1,1,1,,2,1,1,1,1,1,,1,
Maggie,9,1,1,1,0,,1,1,1,-1,0,,,,
Jairzeno,9,1,1,1,-1,,9,,1,1,-1,,-1,,
Amanda,9,1,0,0,-1,,12,-1,-1,-1,0,,-1,,
Tom,9,1,1,-1,-1,,5,-1,0,-1,-1,,-1,,1
Crystelle,9,1,1,1,0,,8,,1,1,1,,1,,
George,9,1,-1,-1,-1,,3,-1,0,1,-1,,-1,,
Rochica,9,1,-1,1,1,,7,,0,1,0,,,,
Jurgen,9,1,1,1,-1,,6,1,1,1,1,,1,1,
Freya,9,1,-1,1,0,,2,,1,1,1,,,,
Chigs,9,1,1,1,1,,11,,1,1,0,,,,
Lizzie,9,1,-1,-1,-1,,4,,1,1,-1,,,,
Giuseppe,9,1,1,1,1,,10,1,-1,1,1,,1,,
Maggie,9,2,-1,1,-1,,5,,-1,0,-1,,-1,,
Jairzeno,9,2,0,-1,-1,,9,,1,1,-1,,-1,,1
Amanda,9,2,0,1,-1,,4,,1,1,-1,,-1,,
Crystelle,9,2,1,1,0,,10,,1,1,1,,,,
George,9,2,1,1,-1,,8,,1,1,1,,,,
Rochica,9,2,1,1,-1,,11,,1,1,1,,,,
Jurgen,9,2,1,1,1,,1,,1,1,1,,1,1,
Freya,9,2,1,0,1,,3,,1,0,1,,,,
Chigs,9,2,1,1,1,,7,,1,1,1,,1,,
Lizzie,9,2,1,1,-1,,6,,1,0,0,,,,
Giuseppe,9,2,1,1,1,,2,,1,1,1,,1,,
Maggie,9,3,0,1,1,,8,-1,-1,-1,-1,,-1,,
Amanda,9,3,-1,0,0,,3,,1,1,1,,,,
Crystelle,9,3,1,1,0,,9,,1,1,1,,,,
George,9,3,1,1,0,,7,,-1,1,1,,,,
Rochica,9,3,0,-1,1,,10,-1,-1,1,-1,,-1,,1
Jurgen,9,3,-1,-1,0,,5,-1,-1,1,1,,,,
Freya,9,3,1,1,0,,4,,1,1,1,,1,,
Chigs,9,3,-1,1,0,,6,-1,1,1,1,,,,
Lizzie,9,3,1,1,1,,2,,1,0,1,,1,,
Giuseppe,9,3,1,1,1,1,1,1,1,1,1,,1,1,
Maggie,9,4,-1,1,-1,,9,,-1,1,-1,,-1,,1
Amanda,9,4,0,-1,1,,8,,1,-1,-1,,-1,,
Crystelle,9,4,0,1,1,,5,,1,1,1,,,,
George,9,4,-1,1,-1,,7,,0,-1,-1,,,,
Jurgen,9,4,1,1,0,,1,,1,1,1,,1,,
Freya,9,4,0,-1,1,,6,,0,-1,-1,,-1,,
Chigs,9,4,1,1,1,1,3,,1,1,1,,1,1,
Lizzie,9,4,-1,1,-1,,2,,-1,1,0,,,,
Giuseppe,9,4,-1,1,1,,4,,1,1,1,,1,,
Amanda,9,5,1,1,-1,,8,,1,1,0,,,,
Crystelle,9,5,1,1,1,,7,,1,1,1,,,,
George,9,5,-1,1,1,,6,,-1,1,1,,-1,,
Jurgen,9,5,1,1,1,1,4,,0,1,1,,1,,
Freya,9,5,-1,1,-1,,5,,-1,1,-1,,-1,,1
Chigs,9,5,1,1,0,,2,,-1,1,1,,,,
Lizzie,9,5,-1,0,0,,3,,1,0,1,,,,
Giuseppe,9,5,1,1,1,,1,,1,1,1,,1,1,
Amanda,9,6,0,-1,0,,5,-1,-1,-1,-1,,-1,,1
Crystelle,9,6,-1,1,0,,2,1,1,1,1,1,1,1,
George,9,6,1,0,1,,6,,-1,-1,1,,-1,,
Jurgen,9,6,1,1,0,,1,1,1,0,1,,,,
Chigs,9,6,1,1,0,,3,1,0,1,-1,,,,
Lizzie,9,6,1,1,1,,7,-1,0,1,1,,,,
Giuseppe,9,6,1,1,0,,4,1,1,1,1,,1,,
Crystelle,9,7,1,1,1,,4,,-1,1,1,,1,,
George,9,7,1,-1,-1,,6,,0,1,1,,-1,,1
Jurgen,9,7,-1,0,-1,,2,,1,1,1,,1,1,
Chigs,9,7,0,-1,1,,3,,-1,1,0,,1,,
Lizzie,9,7,1,1,-1,,5,,-1,-1,1,,-1,,
Giuseppe,9,7,1,-1,1,,1,,-1,1,1,,1,,
Crystelle,9,8,1,1,1,,5,-1,1,1,1,,-1,,
Jurgen,9,8,1,1,-1,,4,,1,1,1,,1,,
Chigs,9,8,1,-1,1,,1,,1,1,1,,1,1,
Lizzie,9,8,1,1,-1,,3,-1,1,1,1,,-1,,1
Giuseppe,9,8,1,1,1,,2,1,-1,0,0,,,,
Crystelle,9,9,1,1,1,1,3,,1,1,1,,1,1,
Jurgen,9,9,1,0,1,,1,,1,1,0,,-1,,1
Chigs,9,9,1,1,1,1,4,,1,1,1,,1,,
Giuseppe,9,9,1,1,1,1,2,,1,-1,1,,-1,,
Crystelle,9,10,0,1,-1,,1,1,-1,1,1,,,,
Chigs,9,10,-1,1,1,,2,-1,1,1,1,,,,
Giuseppe,9,10,-1,1,1,,3,,1,1,1,,,1,
Maxy,10,1,-1,1,-1,,10,,1,1,-1,,,,
James,10,1,1,1,-1,,12,,-1,1,1,,,,
Carole,10,1,1,1,1,,8,,0,-1,1,,,,
Kevin,10,1,-1,1,1,,4,,1,1,0,,,,
Maisam,10,1,1,1,-1,,5,-1,-1,1,-1,,-1,,
Sandro,10,1,1,1,1,,2,1,1,-1,-1,,1,,
Dawn,10,1,1,1,0,,3,,1,1,1,,,,
Abdul,10,1,1,1,1,,6,1,1,1,-1,,,,
Syabira,10,1,1,1,-1,,1,1,1,-1,1,,1,,
Rebs,10,1,-1,-1,0,,11,-1,0,1,1,,-1,,
Will,10,1,0,-1,-1,,9,-1,-1,0,0,,-1,,1
Janusz,10,1,1,1,1,,7,1,1,1,1,,1,1,
Maxy,10,2,1,1,1,1,5,,1,1,1,,1,1,
James,10,2,1,1,1,,2,,1,1,1,,1,,
Carole,10,2,0,-1,-1,,4,,-1,1,1,,-1,,
Kevin,10,2,0,-1,-1,,8,,0,1,1,,,,
Maisam,10,2,1,-1,-1,,7,,1,1,0,,-1,,1
Sandro,10,2,1,1,1,,3,,1,1,1,,,,
Dawn,10,2,1,1,1,1,9,,1,1,1,,,,
Abdul,10,2,1,-1,-1,,11,,1,1,1,,,,
Syabira,10,2,1,1,1,,10,,1,1,1,,1,,
Rebs,10,2,1,1,-1,,1,,-1,-1,0,,-1,,
Janusz,10,2,-1,1,1,,6,,1,1,1,,,,
Maxy,10,3,1,1,0,,2,,0,1,0,,,,
James,10,3,1,0,0,,3,,1,0,1,,,,
Carole,10,3,0,1,-1,,8,,-1,0,1,,-1,,
Kevin,10,3,0,1,1,,7,,-1,1,0,,-1,,
Sandro,10,3,1,1,1,,4,,1,1,-1,,1,,
Dawn,10,3,-1,-1,-1,,6,,-1,-1,1,,-1,,
Syabira,10,3,1,-1,1,,5,,1,1,1,,1,,
Janusz,10,3,0,-1,0,,1,,1,1,1,,1,1,
Abdul,10,4,-1,0,1,,6,,1,1,0,,,,
Rebs,10,4,-1,1,-1,,9,,0,-1,-1,,-1,,1
Maxy,10,4,1,1,1,,1,,1,1,1,,1,1,
James,10,4,-1,-1,1,,8,,1,1,-1,,-1,,1
Carole,10,4,-1,1,-1,,10,,1,-1,1,,-1,,
Kevin,10,4,-1,1,1,,4,,-1,1,0,,,,
Sandro,10,4,-1,1,1,,3,,1,-1,1,,1,,
Dawn,10,4,-1,1,-1,,5,,1,1,1,,,,
Syabira,10,4,-1,1,1,,2,,-1,0,1,,,,
Janusz,10,4,0,-1,1,,7,,-1,1,1,,1,,
Abdul,10,5,1,1,1,,2,1,-1,0,1,,,,
Maxy,10,5,1,1,0,,3,1,1,-1,1,,,,
Carole,10,5,-1,1,-1,,6,-1,-1,1,1,,-1,,1
Kevin,10,5,-1,1,-1,,5,-1,-1,1,1,,,,
Sandro,10,5,1,1,1,,4,1,1,1,1,,1,1,
Dawn,10,5,0,1,-1,,7,-1,1,1,-1,,-1,,
Syabira,10,5,0,0,1,,8,-1,1,-1,1,,-1,,
Janusz,10,5,0,-1,0,,1,1,1,1,1,,1,,
Abdul,10,6,1,1,1,,7,,0,1,1,,,,
Maxy,10,6,1,1,1,1,6,,1,1,-1,,,,
Kevin,10,6,-1,1,-1,,3,,0,0,-1,,-1,,
