Contestant,Series,Round,Signature Bake,Signature Flavor,Signature Looks,Signature Handshake,Tech,First Half Review,Showstopper Bake,Showstopper Flavor,Showstopper Looks,Showstopper Handshake,Second Half Review,Winner,Eliminated
Jon,6,7,-1.0,0.0,-1.0,,4,-1.0,-0.5,1.0,-1.0,,-1.0,,1.0
Kim-Joy,6,7,1.0,1.0,1.0,1.0,6,,0.5,0.5,1.0,,1.0,1.0,
Manon,6,7,0.5,1.0,0.5,,2,1.0,-1.0,-1.0,1.0,,,,
Rahul,6,7,1.0,1.0,0.5,,1,1.0,-1.0,0.0,-1.0,,1.0,,
Ruby,6,7,0.5,-0.5,0.5,,3,-1.0,-1.0,1.0,-1.0,,-1.0,,
Briony,6,8,-1.0,-0.5,-1.0,,1,1.0,1.0,1.0,0.5,,1.0,,
Kim-Joy,6,8,0.0,1.0,1.0,,2,1.0,-1.0,1.0,1.0,,-1.0,,
Manon,6,8,-0.5,-0.5,-0.5,,4,-1.0,-1.0,0.5,1.0,,-1.0,,1.0
Rahul,6,8,-1.0,0.5,-1.0,,5,-1.0,-1.0,1.0,0.5,,-1.0,,
Ruby,6,8,1.0,1.0,1.0,,3,1.0,0.5,1.0,1.0,,1.0,1.0,
Briony,6,9,-0.5,0.0,0.0,,3,-1.0,-1.0,-0.5,-1.0,,-1.0,,1.0
Kim-Joy,6,9,-0.5,0.0,0.5,,2,1.0,-0.5,1.0,-0.5,,1.0,,
Rahul,6,9,1.0,1.0,1.0,,4,,-0.5,0.5,-1.0,,-1.0,,
Ruby,6,9,-0.5,1.0,-1.0,,1,,1.0,1.0,0.5,,1.0,1.0,
Kim-Joy,6,10,1.0,1.0,0.0,,1,,0.5,0.0,0.5,,,,
Rahul,6,10,-0.5,0.0,0.5,,2,,1.0,1.0,0.5,,,1.0,
Ruby,6,10,0.5,-0.5,0.5,,3,,0.5,1.0,0.5,,,,
Alice,7,1,0.5,0.5,0.5,,5,,1.0,1.0,0.5,,,,
Amelia,7,1,1.0,1.0,1.0,,4,,-1.0,-1.0,0.5,,,,
Dan,7,1,-1.0,0.5,-0.5,,9,,0.5,-0.5,1.0,,-1.0,,1.0
David,7,1,1.0,-0.5,1.0,,10,,1.0,1.0,1.0,,,,
Helena,7,1,0.0,0.5,-0.5,,12,,1.0,1.0,1.0,,,,
Henry,7,1,1.0,1.0,-0.5,,1,,0.5,0.5,1.0,,,,
Jamie,7,1,1.0,1.0,0.5,,13,,-1.0,0.0,0.5,,-1.0,,
Michael,7,1,1.0,1.0,1.0,,11,,0.5,0.0,1.0,,,,
Michelle,7,1,-0.5,1.0,0.5,,6,,1.0,1.0,1.0,,1.0,1.0,
Phil,7,1,0.5,-0.5,1.0,,8,,0.0,-0.5,0.5,,,,
Priya,7,1,1.0,1.0,1.0,,7,,-0.5,0.0,-0.5,,,,
Rosie,7,1,-1.0,-0.5,-1.0,,2,,1.0,1.0,-0.5,,,,
Steph,7,1,1.0,1.0,1.0,,3,,-0.5,0.5,1.0,,1.0,,
Alice,7,2,1.0,1.0,1.0,,1,,1.0,1.0,1.0,,1.0,1.0,
Amelia,7,2,-1.0,0.5,-0.5,,9,,-0.5,0.0,-0.5,,-1.0,,
David,7,2,0.0,0.5,-0.5,,2,,1.0,1.0,1.0,,1.0,,
Helena,7,2,-0.5,-0.5,0.0,,12,,1.0,1.0,1.0,,,,
Henry,7,2,-0.5,1.0,0.5,,6,,-0.5,0.5,-0.5,,,,
Jamie,7,2,-0.5,-0.5,-1.0,,11,,-0.5,1.0,-0.5,,-1.0,,1.0
Michael,7,2,-0.5,1.0,0.0,,4,,-0.5,1.0,0.0,,,,
Michelle,7,2,1.0,1.0,1.0,,8,,1.0,1.0,-0.5,,,,
Phil,7,2,0.0,0.0,-0.5,,3,,-1.0,0.0,0.5,,,,
Priya,7,2,-0.5,-0.5,-0.5,,7,,-0.5,-0.5,1.0,,,,
Rosie,7,2,1.0,1.0,1.0,,5,,-0.5,1.0,1.0,,1.0,,
Steph,7,2,0.5,-0.5,0.5,,10,,-0.5,0.5,0.5,,,,
Alice,7,3,-0.5,0.5,0.5,,7,-1.0,0.5,0.0,0.5,,-1.0,,
Amelia,7,3,0.0,0.5,-0.5,,11,-1.0,-1.0,-1.0,-0.5,,-1.0,,1.0
David,7,3,0.5,0.5,0.0,,2,1.0,-1.0,-0.5,0.5,,,,
Helena,7,3,-0.5,0.0,-0.5,,8,,-0.5,-0.5,0.5,,,,
Henry,7,3,0.0,-0.5,0.5,,1,,-0.5,0.5,0.0,,-1.0,,
Michael,7,3,1.0,1.0,1.0,1.0,6,,0.0,0.5,0.5,,1.0,1.0,
Michelle,7,3,0.5,0.5,-0.5,,5,1.0,-0.5,0.5,0.5,,,,
Phil,7,3,0.5,1.0,0.5,,10,,1.0,1.0,0.5,,,,
Priya,7,3,0.0,1.0,0.0,,4,1.0,0.5,0.0,0.0,,,,
Rosie,7,3,1.0,1.0,0.0,,9,-1.0,1.0,0.0,1.0,,,,
Steph,7,3,-0.5,0.5,1.0,,3,,1.0,0.5,1.0,,1.0,,
Alice,7,4,0.5,-0.5,1.0,,8,,0.5,0.5,0.5,,,,
David,7,4,1.0,1.0,1.0,,2,1.0,1.0,1.0,1.0,,1.0,,
Helena,7,4,0.5,0.5,0.5,,9,,1.0,1.0,1.0,,,,
Henry,7,4,1.0,1.0,1.0,,3,1.0,-0.5,0.5,-0.5,,,,
Michael,7,4,0.0,1.0,-1.0,,7,-1.0,1.0,1.0,1.0,,-1.0,,
Michelle,7,4,-0.5,0.0,0.5,,5,,-0.5,0.0,0.0,,,,
Phil,7,4,0.5,-0.5,-0.5,,6,,-0.5,-0.5,0.0,,-1.0,,1.0
Priya,7,4,0.0,0.5,0.5,,10,-1.0,0.5,0.5,0.0,,-1.0,,
Rosie,7,4,1.0,1.0,0.5,,4,,1.0,1.0,1.0,,,,
Steph,7,4,1.0,1.0,0.5,,1,1.0,1.0,1.0,1.0,,1.0,1.0,
Alice,7,5,0.0,-0.5,0.0,,6,,0.5,0.5,-0.5,,,,
David,7,5,1.0,1.0,1.0,1.0,9,,0.5,0.5,0.0,,1.0,,
Helena,7,5,0.0,-0.5,1.0,,1,,-0.5,-0.5,-0.5,,-1.0,,1.0
Henry,7,5,-0.5,0.5,0.0,,3,,-0.5,1.0,1.0,,1.0,,
Michael,7,5,1.0,1.0,0.5,,8,,0.5,0.0,0.5,,,,
Michelle,7,5,0.0,-0.5,0.5,,7,,-0.5,-0.5,0.0,,-1.0,,1.0
Priya,7,5,-0.5,0.5,-0.5,,2,-1.0,0.0,0.5,-0.5,,-1.0,,
Rosie,7,5,-0.5,0.5,-0.5,,5,,0.0,1.0,0.0,,-1.0,,
Steph,7,5,1.0,1.0,0.5,,4,,1.0,1.0,0.5,,1.0,1.0,
Alice,7,6,0.0,0.0,0.5,,1,1.0,1.0,1.0,1.0,,1.0,,
David,7,6,0.5,-0.5,1.0,,2,,0.0,0.5,1.0,,1.0,,
Henry,7,6,0.5,0.5,-0.5,,4,,-0.5,-0.5,0.0,,-1.0,,
Michael,7,6,-0.5,0.5,0.5,,6,-1.0,-0.5,0.5,-0.5,,-1.0,,
Priya,7,6,-0.5,-0.5,-0.5,,7,-1.0,0.5,0.0,0.5,,-1.0,,1.0
Rosie,7,6,0.5,0.5,0.0,,5,,-0.5,0.0,0.0,,-1.0,,
Steph,7,6,0.5,0.5,1.0,,3,1.0,1.0,1.0,1.0,,1.0,1.0,
Alice,7,7,0.5,-0.5,-0.5,,6,-1.0,1.0,1.0,1.0,,,,
David,7,7,0.5,1.0,1.0,,2,,-0.5,0.0,0.5,,1.0,,
Henry,7,7,1.0,1.0,1.0,1.0,3,,1.0,1.0,0.5,,1.0,1.0,
Michael,7,7,0.0,1.0,0.5,,5,,-0.5,0.0,0.5,,-1.0,,1.0
Rosie,7,7,0.0,0.5,0.5,,1,,0.0,0.5,-0.5,,-1.0,,
Steph,7,7,1.0,1.0,1.0,1.0,4,,1.0,1.0,0.5,,1.0,,
Alice,7,8,-0.5,1.0,0.5,,3,-1.0,-1.0,-0.5,1.0,,,,
David,7,8,-0.5,1.0,-0.5,,1,,-0.5,-0.5,1.0,,1.0,,
Henry,7,8,0.5,1.0,0.5,,5,-1.0,-1.0,0.0,-0.5,,-1.0,,1.0
Rosie,7,8,-1.0,0.5,-0.5,,2,-1.0,-1.0,0.5,1.0,,-1.0,,
Steph,7,8,0.5,1.0,0.0,,4,,1.0,1.0,1.0,,1.0,1.0,
Alice,7,9,1.0,1.0,0.5,,4,,-0.5,0.5,0.0,,1.0,1.0,
David,7,9,0.5,1.0,0.5,,2,,-0.5,0.5,0.5,,-1.0,,
Rosie,7,9,-0.5,0.0,0.5,,1,,-0.5,-0.5,0.0,,-1.0,,1.0
Steph,7,9,-0.5,0.5,0.0,,3,,0.5,0.5,1.0,,1.0,,
Alice,7,10,1.0,0.5,-0.5,,2,,1.0,1.0,1.0,,,,
David,7,10,1.0,-0.5,0.5,,1,,0.5,1.0,1.0,,,1.0,
Steph,7,10,-0.5,1.0,1.0,,3,,-0.5,0.5,0.0,,,,
Dave,8,1,1.0,0.0,1.0,,9,,-1.0,-1.0,1.0,,,,
Hermine,8,1,1.0,1.0,1.0,,5,1.0,1.0,1.0,1.0,,1.0,,
Laura,8,1,0.0,-1.0,-1.0,,6,,1.0,1.0,0.0,,,,
Linda,8,1,-1.0,0.0,-1.0,,12,-1.0,1.0,1.0,0.0,,-1.0,,
Loriea,8,1,-1.0,0.0,1.0,,10,-1.0,0.0,-1.0,-1.0,,-1.0,,1.0
Lottie,8,1,1.0,1.0,0.0,,4,,-1.0,1.0,1.0,,,,
Mak,8,1,0.0,0.0,1.0,,8,,-1.0,1.0,1.0,,,,
Marc,8,1,0.0,1.0,0.0,,11,-1.0,0.0,1.0,-1.0,,-1.0,,
Mark,8,1,1.0,-1.0,0.0,,7,,1.0,1.0,1.0,,,,
Peter,8,1,1.0,1.0,1.0,,2,1.0,1.0,1.0,1.0,,1.0,1.0,
Rowan,8,1,-1.0,0.0,1.0,,3,,1.0,1.0,1.0,,,,
Sura,8,1,1.0,1.0,1.0,,1,1.0,1.0,1.0,1.0,,1.0,,
Dave,8,2,1.0,1.0,1.0,,1,,1.0,1.0,1.0,,1.0,1.0,
Hermine,8,2,-1.0,1.0,-1.0,,5,,1.0,-1.0,0.0,,,,
Laura,8,2,1.0,1.0,1.0,,7,,1.0,1.0,-0.5,,,,
Linda,8,2,1.0,1.0,-1.0,,4,,-1.0,0.0,1.0,,,,
Lottie,8,2,1.0,1.0,1.0,1.0,8,,1.0,1.0,0.0,,,,
Mak,8,2,-1.0,1.0,-0.5,,3,,-0.5,1.0,-1.0,,-1.0,,1.0
Marc,8,2,-1.0,1.0,1.0,,9,,0.5,0.5,1.0,,1.0,,
Mark,8,2,1.0,-0.5,-1.0,,2,,1.0,1.0,0.0,,1.0,,
Peter,8,2,-0.5,1.0,1.0,,10,,1.0,1.0,1.0,,,,
Rowan,8,2,-1.0,1.0,-0.5,,11,,-1.0,1.0,0.0,,-1.0,,
Sura,8,2,0.0,1.0,1.0,,6,,1.0,1.0,-1.0,,,,
Dave,8,3,0.5,-0.5,0.5,,9,-1.0,-0.5,0.5,0.0,,-1.0,,
Hermine,8,3,1.0,1.0,1.0,1.0,7,1.0,0.0,0.0,0.5,,,,
Laura,8,3,-0.5,0.5,0.0,,6,,-0.5,0.5,0.5,,,,
Linda,8,3,-0.5,0.5,-0.5,,1,,-0.5,-0.5,0.5,,,,
Lottie,8,3,0.5,0.0,0.5,,5,1.0,0.5,0.0,0.5,,,,
Marc,8,3,0.0,0.0,0.0,,2,1.0,0.5,0.5,0.5,,1.0,1.0,
Mark,8,3,1.0,0.5,0.5,,3,1.0,0.5,0.5,0.0,,,,
Peter,8,3,-0.5,0.5,0.5,,4,,-1.0,0.5,0.0,,-1.0,,
Rowan,8,3,-0.5,0.0,-0.5,,10,-1.0,-0.5,-0.5,0.5,,-1.0,,1.0
Sura,8,3,0.0,1.0,-0.5,,8,,0.5,1.0,0.5,,1.0,,
Dave,8,4,-0.5,0.5,0.5,,8,,0.5,0.5,0.5,,,,
Hermine,8,4,0.0,-0.5,-0.5,,5,,0.5,1.0,0.0,,,,
Laura,8,4,-0.5,-0.5,-0.5,,2,,-0.5,0.5,-0.5,,,,
Linda,8,4,-0.5,0.5,-0.5,,1,,-0.5,0.5,-0.5,,,,
Lottie,8,4,-0.5,0.0,-1.0,,9,,-0.5,0.5,1.0,,-1.0,,
Marc,8,4,-0.5,0.0,-1.0,,6,,-0.5,0.5,0.5,,,,
Mark,8,4,-0.5,0.5,0.5,,3,,0.5,0.0,1.0,,1.0,1.0,
Peter,8,4,0.0,-0.5,0.5,,4,,0.5,0.5,1.0,,1.0,,
Sura,8,4,-0.5,-0.5,-0.5,,7,,-1.0,0.0,-0.5,,-1.0,,1.0
Dave,8,5,-0.5,0.0,0.5,,5,,1.0,1.0,1.0,,1.0,,
Hermine,8,5,1.0,1.0,0.0,,2,,0.0,1.0,0.5,,1.0,,
Laura,8,5,1.0,1.0,0.5,,6,,1.0,1.0,1.0,,1.0,1.0,
Linda,8,5,0.0,0.5,-0.5,,8,,-0.5,0.5,-1.0,,-1.0,,1.0
Lottie,8,5,1.0,1.0,-0.5,,4,,-0.5,1.0,1.0,,,,
Marc,8,5,-0.5,0.5,-0.5,,7,,-0.5,0.5,0.5,,-1.0,,
Mark,8,5,1.0,1.0,1.0,,3,,-0.5,0.5,-0.5,,-1.0,,
Peter,8,5,-0.5,0.0,0.5,,1,,0.5,1.0,0.5,,1.0,,
Dave,8,6,0.5,1.0,0.5,,3,1.0,1.0,1.0,0.0,,1.0,,
Hermine,8,6,1.0,1.0,-0.5,,4,,-0.5,0.5,-0.5,,-1.0,,
Laura,8,6,-0.5,0.5,-0.5,,7,-1.0,0.0,1.0,0.5,,-1.0,,
Lottie,8,6,0.5,1.0,0.5,,2,1.0,1.0,1.0,1.0,,1.0,1.0,
Marc,8,6,0.0,1.0,0.5,,6,,0.5,0.5,1.0,,1.0,,
Mark,8,6,0.5,0.5,0.5,,5,,-1.0,-0.5,0.0,,-1.0,,1.0
Peter,8,6,-0.5,1.0,-0.5,,1,,0.0,-0.5,0.5,,,,
Dave,8,7,0.0,-1.0,-0.5,,6,-1.0,1.0,1.0,-0.5,,,,
Hermine,8,7,-0.5,1.0,0.5,,1,1.0,1.0,1.0,1.0,,1.0,1.0,
Laura,8,7,-0.5,1.0,-0.5,,4,-1.0,-1.0,1.0,-1.0,,-1.0,,
Lottie,8,7,1.0,1.0,0.5,,5,-1.0,-1.0,0.5,-1.0,,-1.0,,1.0
Marc,8,7,1.0,1.0,0.0,,3,,-0.5,1.0,1.0,,1.0,,
Peter,8,7,1.0,0.0,1.0,,2,,-0.5,1.0,1.0,,,,
Dave,8,8,1.0,1.0,1.0,,5,,-0.5,1.0,1.0,,,,
Hermine,8,8,-0.5,-0.5,1.0,,3,,1.0,1.0,1.0,,1.0,1.0,
Laura,8,8,1.0,1.0,-0.5,,1,1.0,1.0,1.0,1.0,,1.0,,
Marc,8,8,-0.5,-0.5,-0.5,,2,,-1.0,-0.5,-1.0,,-1.0,,1.0
Peter,8,8,-0.5,0.5,-1.0,,4,-1.0,-0.5,1.0,-0.5,,-1.0,,
Dave,8,9,1.0,1.0,0.5,,3,,1.0,1.0,1.0,,1.0,,
Hermine,8,9,-0.5,0.5,0.5,,2,,-1.0,0.5,-1.0,,-1.0,,1.0
Laura,8,9,0.5,0.5,0.0,,4,,1.0,1.0,-1.0,,-1.0,,
Peter,8,9,1.0,1.0,1.0,1.0,1,,1.0,1.0,1.0,,1.0,1.0,
Dave,8,10,0.0,1.0,0.5,,1,1.0,1.0,1.0,1.0,1.0,,,
Laura,8,10,-1.0,1.0,-1.0,,3,-1.0,1.0,1.0,0.5,-1.0,,,
Peter,8,10,0.5,1.0,1.0,,2,1.0,1.0,1.0,1.0,1.0,,1.0,
Amanda,9,1,0.0,0.0,-0.5,,12,-1.0,-0.5,0.0,0.5,,-1.0,,
Chigs,9,1,0.5,1.0,1.0,,11,,1.0,1.0,0.0,,,,
